key,title,year,decision,doi,pubmed_id
rayyan-601300102,Explainable Profiling of Sleep Disorders to Support Trustworthy Clinical Interventions,2025,Excluded,10.1109/ICDMW69685.2025.00275,
rayyan-601300104,Predicting 30-Day All-Cause Hospital Readmission Using Multimodal Spatiotemporal Graph Neural Networks,2023,Maybe,10.1109/JBHI.2023.3236888,
rayyan-601300105,Machine Learning in Healthcare: Transforming Patient Outcome Prediction and Decision Support,2025,Excluded,10.1109/ICAIIHI67124.2025.11403079,
rayyan-601300106,"MediHealth AI: An Integrated Framework for Automated Health Report Analysis, Symptom Triage, and Conversational Assistance",2025,Excluded,10.1109/ICIDCA66325.2025.11280587,
rayyan-601300107,Deep Learning for Detection and Localization of B-Lines in Lung Ultrasound,2023,Maybe,10.1109/JBHI.2023.3282596,
rayyan-601300108,A Review of CAM-Based Visual Explanation on Diabetic Retinopathy,2026,Excluded,10.1109/ACCESS.2026.3656888,
rayyan-601300109,Video Summarization and Fracture Detection in Pediatric Wrist Ultrasound Using Deep Reinforcement Learning,2025,Excluded,10.1109/EMBC58623.2025.11251547,
rayyan-601300110,Automated Risk Assessment of COVID-19 Patients at Diagnosis Using Electronic Healthcare Records,2021,Excluded,10.1109/BHI50953.2021.9508512,
rayyan-601300111,EventScore: An Automated Real-time Early Warning Score for Clinical Events,2022,Excluded,10.1109/ICHI54592.2022.00038,
rayyan-601300112,Explainable Tuberculosis Detection from Chest X-Rays Using SHAP-Pruned CNN Features and Gradient-Boosted Classification,2025,Excluded,10.1109/GCAT66372.2025.11368471,
rayyan-601300113,TeleXAI-R: A Real-Time Explainable AI Model for Remote Patient Risk Stratification Using IoT-Integrated Consumer Devices,2026,Excluded,10.1109/TCE.2025.3644166,
rayyan-601300114,ADAM-1: An AI Reasoning and Bioinformatics Model for Alzheimer’s Disease Detection and Microbiome-Clinical Data Integration,2025,Excluded,10.1109/ACCESS.2025.3599857,
rayyan-601300115,Explainable AI for Automated Emergency Triage of Brain CT Pathologies: A Multi-Level Classification Framework,2026,Excluded,10.1109/ICAIII69475.2026.11521149,
rayyan-601300116,Enhanced Tuberculosis Detection using a Dual-Path Vision Model with Feature-Space Augmentation and Progressive Fine-Tuning,2025,Excluded,10.1109/CICN67655.2025.11367832,
rayyan-601300117,Cardiovascular Disease Risk Prediction Model Based on Fast-Tunable Optimized Stacked Ensemble Learning Architecture,2025,Excluded,10.1109/IAECST68792.2025.11415016,
rayyan-601300118,An Interpretable Machine Learning Framework for ICU Mortality Risk Prediction in COVID-19 Patients,2026,Excluded,10.1109/ICIPCN67432.2026.11438713,
rayyan-601300119,Explainable Machine Learning for Early Assessment of COVID-19 Risk Prediction in Emergency Departments,2020,Excluded,10.1109/ACCESS.2020.3034032,
rayyan-601300120,Predicting Avoidable Emergency Department Visits Using the NHAMCS Dataset,2021,Excluded,10.1109/ICHI52183.2021.00072,
rayyan-601300121,ViT-ResNet Contrastive Adaptation for Pneumonia Detection,2025,Excluded,10.1109/BDAI66031.2025.11325577,
rayyan-601300122,Emergency Department Forecasting: COVID-19 Impact on Machine Learning Models,2025,Excluded,10.1109/CHILECON66915.2025.11476362,
rayyan-601300123,Machine Learning-based Stroke Detection using CT and MRI Imaging,2026,Excluded,10.1109/ICICT68280.2026.11511102,
rayyan-601300124,Reinforcement Learning for Intelligent Healthcare Systems: Optimizing Patient Treatment and Resource Allocation in Dynamic Clinical Environments,2025,Excluded,10.1109/CISCON66933.2025.11337850,
rayyan-601300125,Explainable AI Chatbot for Animal Behavioral and Medical Triage,2026,Excluded,10.1109/IDCIoT67589.2026.11455757,
rayyan-601300126,Implementation and Testing of an Experimental Near-Real-Time Patient Bedside Monitor Datastream Analysis and Alerting System in a Live Emergency Department,2024,Excluded,10.1109/UEMCON62879.2024.10754726,
rayyan-601300127,Structural Self-Supervision for Label-Free Aortic Dissection Triage on Non-Contrast CT,2026,Excluded,10.1109/ISBI61048.2026.11515850,
rayyan-601300128,An Overview of Artificial Intelligence in Neuro-Oncology: Early Tumor Detection,2025,Excluded,10.1109/DECoN67170.2025.11447916,
rayyan-601300129,"Development and Deployment of an Open, Modular, Near-Real-Time Patient Monitor Datastream Conduit Toolkit to Enable Healthcare Multimodal Data Fusion in a Live Emergency Department Setting for Experimental Bedside Clinical Informatics Research",2019,Excluded,10.1109/LSENS.2018.2880140,
rayyan-601300130,Explainable Symptom-Based Chronic Disease Assessment Using Hybrid Rule-Based and Machine Learning Techniques,2026,Excluded,10.1109/ICIPTM69057.2026.11465933,
rayyan-601300131,A new machine learning technique for predicting traumatic injuries outcomes based on the vital signs,2019,Maybe,10.23919/IConAC.2019.8895012,
rayyan-601300132,Predicting Patient Discharge Disposition in Acute Neurological Care,2021,Excluded,10.1109/SSCI50451.2021.9659904,
rayyan-601300133,PathFinder: A Multi-Modal Multi-Agent System for Medical Diagnostic Decision-Making Applied to Histopathology,2025,Excluded,10.1109/ICCV51701.2025.02175,
rayyan-601300134,Artificial Intelligence in Demand and Capacity Modelling of Healthcare Systems,2026,Excluded,10.1109/JBHI.2026.3703213,
rayyan-601300135,Cross-Regional and Interpretable Marine Mucilage Monitoring Using Spectral Indices and SHAP,2025,Excluded,10.1109/JURSE60372.2025.11076015,
rayyan-601300136,AI-Driven Assistance for Rapid Dermatology Triage,2025,Maybe,10.1109/ICoICI65217.2025.11252685,
rayyan-601300138,Transfer Learning for Automated COVID-19 B-Line Classification in Lung Ultrasound,2022,Excluded,10.1109/EMBC48229.2022.9871894,
rayyan-601300139,Multiclass Eye Disease Classification on Fundus Images Using EfficientNet-B3 and Grad-CAM,2025,Excluded,10.1109/CENIM67940.2025.11326202,
rayyan-601300140,Explainable Intelligent Multi-Feature Fusion BTB Model for Teleconsultation in 6G-Enabled Healthcare Systems,2026,Excluded,10.1109/MCOMSTD.2026.3673852,
rayyan-601300141,AI and IoT-Integrated Smart Devices for Enhanced Vision Screening and Diagnosis in Eye Care,2024,Excluded,10.1109/SCOPES64467.2024.10991151,
rayyan-601300142,"Advances and Challenges in AI-Powered Medical Chatbots: Leveraging LLMs, CNNs, and Multimodal Systems for Clinical Applications",2025,Excluded,10.1109/IDICAIHEI65991.2025.11378806,
rayyan-601300143,Testing the Generalizability of an Automated Method for Explaining Machine Learning Predictions on Asthma Patients’ Asthma Hospital Visits to an Academic Healthcare System,2020,Excluded,10.1109/ACCESS.2020.3032683,
rayyan-601300144,Multimodal Deep Learning for Pediatric Mild Traumatic Brain Injury Detection,2023,Excluded,10.1109/BHI58575.2023.10313520,
rayyan-601300145,Integrating Cognitive Science and AI for Skin Disorder Detection,2026,Excluded,10.1109/IMED68921.2026.11484317,
rayyan-601300146,Explainable Deep Learning Approach for Binary Kidney Stone Detection in CT Imaging Using MobileNetV2,2025,Excluded,10.1109/STI69347.2025.11367555,
rayyan-601300147,"AI-Driven Diagnostics and Predictive Maintenance in NPI Service Engineering: A Comprehensive Survey of Methods, Applications, and Future Directions",2025,Excluded,10.1109/ICON-SONICS67145.2025.11309261,
rayyan-601300148,Glaucoma Screening on Retinal Fundus Images with Deep Learning,2026,Excluded,10.1109/IMCET69180.2026.11503786,
rayyan-601300149,BioBridge: Unified Bio-Embedding With Bridging Modality in Code-Switched EMR,2024,Excluded,10.1109/ACCESS.2024.3467251,
rayyan-601300150,Intelligent Symptom Conversations: New Frontiers in AI-Powered Preliminary Healthcare Diagnosis,2025,Excluded,10.1109/ICFT66708.2025.11336630,
rayyan-601300151,Optimizing the dynamic administration regimen of prophylactic enoxaparin in critically ill patients using reinforcement learning,2025,Excluded,10.1109/JBHI.2025.3607685,
rayyan-601300152,Ai-Augmented Multi-Cloud Serverless Framework for Explainable Outbreak Management in Healthcare,2025,Excluded,10.1109/UEMCON67449.2025.11267652,
rayyan-601300153,Telemedicine as a Driver of Equitable Healthcare Delivery in Low-Resource and Rural Communities,2026,Excluded,10.1109/ICBDML68582.2026.11544463,
rayyan-601300154,Towards Explainable AI in Cardiac Diagnostic: Attention-Based Interpretation of Brugada Syndrome,2025,Excluded,10.1109/ICoAILO66760.2025.11155988,
rayyan-601300155,"DFU-XAI: Explainable DFU Classification with Efficientnet-B3, A Grad-CAM-Enhanced Deep Learning Framework",2026,Excluded,10.1109/ICMCSI67283.2026.11412809,
rayyan-601300156,An Explainable Decision Support Framework for Differential Diagnosis Between Mild COVID-19 and Other Similar Influenzas,2024,Excluded,10.1109/ACCESS.2024.3405071,
rayyan-601300157,AG-STDF: Anatomy-Guided ECG Spatiotemporal Dynamical Fusion for Screening Coronary Microvascular Dysfunction,2026,Excluded,10.1109/TBME.2026.3698945,
rayyan-601300158,Identification of COVID-19 from Other Upper Respiratory Tract Infections Using Random Undersampling and LIME-based XAI Model,2023,Excluded,10.1109/ICCCNT56998.2023.10307102,
rayyan-601300159,AI-driven Models with Effective Feature Selection Accurately Predict ICU Admission after Laparoscopic Cholecystectomy,2024,Excluded,10.1109/BIBM62325.2024.10821955,
rayyan-601300160,Bone Fracture Detection Using Deep Learning: A Review,2026,Excluded,10.1109/IDCIoT67589.2026.11455710,
rayyan-601300161,AI-Driven Chatbots: Bridging the Gap between Patients and Healthcare Providers,2025,Excluded,10.1109/NETCRYPT65877.2025.11102533,
rayyan-601300162,CLARA NET-A Framework of Clinically-Explainable Deep Learning for Supporting Multiclass Diagnosis of Brain Tumor from Single-Modality MRI Data,2025,Excluded,10.1109/ICETEG66194.2025.11473011,
rayyan-601300163,Advanced Multi-Scale Vision Transformer With Neural Architecture Search for Thyroid Cancer Diagnosis Using Ultrasound Images,2026,Excluded,10.1109/ACCESS.2026.3694108,
rayyan-601300164,Hybrid CNN-BiLSTM with Attention Mechanism and Ensemble Learning for Multi-Symptom Disease Prediction: A Comparative Analysis,2026,Excluded,10.1109/QPAIN69676.2026.11546314,
rayyan-601300165,ASIST TBI: A Hybrid Vision Transformer and CNN Based Tool for Predicting Neurosurgical Intervention in Acute Traumatic Brain Injury,2025,Excluded,10.1109/CICT67193.2025.11398984,
rayyan-601300166,Plataforma Web con Machine Learning para la Detección Temprana de Anemia Infantil en Hospitales Públicos del Perú,2025,Excluded,10.1109/CIMPS69356.2025.11419710,
rayyan-601300167,AI Mobile Health Applications: Real-Time Monitoring and Support,2025,Excluded,10.1109/3ict68299.2025.11442234,
rayyan-601300168,GraphAE: Plant-informed Graph Autoencoder for ICS Anomaly Detection with SHAP-based Explanations,2026,Excluded,10.1109/ICAIC67076.2026.11395672,
rayyan-601300169,GaP-Aug: Gamma Patch-Wise Correction Augmentation Method for Respiratory Sound Classification,2024,Excluded,10.1109/ICASSP48485.2024.10447967,
rayyan-601300170,"""DAKSHAAB"": An AI-Driven Chatbot for Patient Triage Using Bio-Bert",2024,Excluded,10.1109/ICCCSMD63546.2024.11015165,
rayyan-601300171,Uncertainty-Aware and Explainable Feature-Level Ensembles for CT-Based Kidney Stone Detection,2026,Excluded,10.1109/QPAIN69676.2026.11546296,
rayyan-601300172,A Data-Driven Approach to Forecasting Emergency Attendance During Easter and Labour Day Holidays,2025,Excluded,10.1109/CHILECON66915.2025.11476199,
rayyan-601300173,Towards Non-Invasive Blood Group Prediction: Fingerprint Recognition with Advanced Deep Learning,2025,Excluded,10.1109/ICATC68823.2025.11407830,
rayyan-601300174,Advances in Neuroimaging Techniques for Detection and Monitoring Intracranial Hemorrhage,2025,Excluded,10.1109/REACS67479.2025.11413546,
rayyan-601300175,Brain Stroke Classification Using YOLOv8,2025,Excluded,10.1109/ACIT68900.2025.11510558,
rayyan-601300176,A Cardiovascular Disease Recognition Method Based on Feature Fusion and Self-Supervised Learning,2025,Excluded,10.1109/ICCWAMTIP68645.2025.11352671,
rayyan-601300177,Prediction of ICU admission for COVID-19 patients: a Machine Learning approach based on Complete Blood Count data,2021,Excluded,10.1109/CBMS52027.2021.00065,
rayyan-601300178,"Clinical vs. Ultrasound for PCOS Detection: A Calibrated, Leakage-Safe, Real-Time Benchmark",2025,Excluded,10.1109/ICCIT68739.2025.11552594,
rayyan-601300179,Explainable AI Cloud Security Framework with Automating SIEM Event Management,2026,Excluded,10.1109/ICSI70302.2026.11544238,
rayyan-601300180,An Enhanced Random Forest Model for Predicting Serum Creatinine in Chronic Kidney Disease,2025,Excluded,10.1109/ICCIT68739.2025.11490451,
rayyan-601300181,Interpretable Summaries of Black Box Incident Triaging with Subgroup Discovery,2021,Excluded,10.1109/DSAA53316.2021.9564164,
rayyan-601300182,XFMP: A Benchmark for Explainable Fine-Grained Abnormal Behavior Recognition on Medical Personal Protective Equipment,2024,Excluded,10.1109/TCSVT.2024.3405998,
rayyan-601300183,SA-UCA-CNN: A Single-Model Framework for Patient-Level CXR Triage with Style Alignment and Uncertainty Calibration,2025,Excluded,10.1109/ICISCAE66104.2025.11307708,
rayyan-601300184,Dense Pixel-Labeling For Reverse-Transfer And Diagnostic Learning On Lung Ultrasound For Covid-19 And Pneumonia Detection,2021,Excluded,10.1109/ISBI48211.2021.9433826,
rayyan-601300185,Explainable Temporal Attention for Anomaly Detection in Medical Time-Series Data,2026,Excluded,10.1109/IE69249.2026.11539025,
rayyan-601300186,"Sustainable AI for Medical Imaging: A Federated, Edge-based Approach to Chest X-ray Triage",2025,Excluded,10.1109/CMSS66566.2025.11182494,
rayyan-601300187,AI-Enhanced Telehealth Platforms: A Comprehensive Analysis of Automated Triage and Personalized Care Systems,2025,Excluded,10.1109/ICSC65596.2025.11139916,
rayyan-601300188,Blood Alcohol Concentration Screening at Emergency Room: Designing a Classification Model Using Machine Learning,2023,Excluded,10.1109/ICTS58770.2023.10330879,
rayyan-601300189,Multi-modal Machine Learning for CCTA Referral Decision: Integrating Opportunistic Coronary Calcium Screening from LDCT with Clinical Data,2025,Excluded,10.1109/AIxMHC65380.2025.00015,
rayyan-601300190,Towards Balancing Preference and Performance through Adaptive Personalized Explainability,2024,Excluded,,
rayyan-601300191,Visual Acuity Classification Using Ensemble Machine Learning Algorithms: With Explainable Approach,2023,Excluded,10.1109/ICT4DA59526.2023.10302234,
rayyan-601300192,Pneumonia Detection Using a Hybrid CNN and Swin Transformer Architecture,2026,Excluded,10.1109/ICAISS68683.2026.11526235,
rayyan-601300193,Temporal Decomposition and Attention-Based Deep Learning for Magnetocardiography Signal Denoising,2025,Excluded,10.1109/TIM.2025.3571116,
rayyan-601300194,LGAF-Net: A Local-Global Attention Fusion Network for Efficient Medical Image Classification,2025,Excluded,10.1109/ICoDT269104.2025.11360692,
rayyan-601300195,Artificial Intelligence for Public Health,2019,Excluded,10.1109/BIBM47256.2019.8983112,
rayyan-601300196,PneumoDetect: AI-Assisted Chest Radiograph Analyzer,2026,Excluded,10.1109/AIMLA67915.2026.11522463,
rayyan-601300197,TrioXpert: An Automated Incident Management Framework for Microservice System,2025,Excluded,10.1109/ASE63991.2025.00267,
rayyan-601300198,Monkeypox Skin-Lesion Detection with a Modified VGG16 and a Lightweight Custom CNN,2025,Excluded,10.1109/ICTBIG68706.2025.11323728,
rayyan-601300199,Calibrated Margin-Weighted Soft Voting Ensemble for Early Diagnosis of Coronary Artery Disease,2026,Excluded,10.1109/I5CPS67958.2026.11452542,
rayyan-601300200,A Governance-First Architecture for Trustworthy Machine Learning: Multi-Dimensional Experimental Evaluation Across Healthcare and Insurance Domains,2026,Maybe,10.1109/AIEI69164.2026.11497556,
rayyan-601300201,Machine learning based SpO2 prediction from PPG signal's characteristics features,2022,Excluded,10.1109/MeMeA54994.2022.9856498,
rayyan-601300202,Comparative Analysis of Psychometric data for assessing mental health testing needs using Machine Learning Models,2025,Excluded,10.1109/ICAIIHI67124.2025.11403838,
rayyan-601300203,EfficientNet-Based Deep Learning for Diabetic Retinopathy Classification Highlighting Overfitting and Severity Class Limitations,2025,Excluded,10.1109/GITCON65266.2025.11379692,
rayyan-601300204,A Secure and Explainable Dialogue System for Adaptive Symptom Assessment in Medical Chatbots,2026,Excluded,10.1109/ICESIC67389.2026.11496570,
rayyan-601300205,Guiding the Last Centimeter: Novel Anatomy-Aware Probe Servoing for Standardized Imaging Plane Navigation in Robotic Lung Ultrasound,2025,Excluded,10.1109/TASE.2024.3448241,
rayyan-601300206,SYMPTOM: SYMptom-Level Prediction of Target Outcomes in Major Depressive Disorder (MDD) Using Transformers on Mental Health Narratives,2025,Excluded,10.1109/BIBE66822.2025.00124,
rayyan-601300207,Multiclass Prediction of Bug Resolution Time Using Context-Aware Machine Learning Models,2025,Excluded,10.1109/ETCM67548.2025.11304484,
rayyan-601300208,MobileNetV3-Large for Retinopathy Severity and Edema Risk from Fundus Images and Clinical Captions,2025,Excluded,10.1109/DASA68193.2025.11499102,
rayyan-601300209,"Deep Learning for Forecasting Patient Visits: A Comparative Study of CNNs, xLSTM, and Transformers",2025,Excluded,10.1109/MeMeA65319.2025.11068057,
rayyan-601300210,Martingale Stopping Rule Application in Bayesian A/B Testing With Batch Data,2025,Excluded,10.1109/ACCESS.2025.3577906,
rayyan-601300212,"Artificial Intelligence-Enabled Pharmacovigilance: Architectures, Applications, and Challenges for Digital Drug Safety Surveillance",2026,Excluded,10.1109/IMED68921.2026.11484263,
rayyan-601300213,Predicting Child Malnutrition Rates in Khunti Jharkhand Using AI Models,2025,Excluded,10.1109/OCIT66168.2025.11400124,
rayyan-601300214,Developing Composite Metrics for Cybersecurity Incident Impact and Response using Feature Engineering and Predictive Modeling,2025,Excluded,10.1109/ICSCSA66339.2025.11170981,
rayyan-601300215,Vision Transformer-based OCT Retinal Disease Classification,2025,Excluded,10.1109/ISPDS67367.2025.11391114,
rayyan-601300216,Drone Assisted Remote Wellness Monitoring Using RGB Camera,2026,Excluded,10.1109/ISDFS69419.2026.11459053,
rayyan-601300217,IEEE Standard for Performance and Safety Evaluation of Artificial Intelligence Based Medical Devices: Terminology,2023,Excluded,10.1109/IEEESTD.2023.10117469,
rayyan-601300218,Interpretable Machine Learning for Emergency Department Triage: A Systematic Literature Review,2025,Included,10.1109/ICTS67612.2025.11369580,
rayyan-601300219,Triage of 2D Mammographic Images Using Multi-view Multi-task Convolutional Neural Networks,2021,Excluded,10.1145/3453166,
rayyan-601300220,The role of AI in emergency department triage: An integrative systematic review.,2025,Included,10.1016/j.iccn.2025.104058,40306071
rayyan-601300221,Artificial intelligence-enhanced electrocardiography for accurate diagnosis and management of cardiovascular diseases.,2024,Excluded,10.1016/j.jelectrocard.2024.01.006,38301492
rayyan-601300222,Human-computer collaboration for skin cancer recognition.,2020,Excluded,10.1038/s41591-020-0942-0,32572267
rayyan-601300223,The Medicine Revolution Through Artificial Intelligence: Ethical Challenges of Machine Learning Algorithms in Decision-Making.,2024,Excluded,10.7759/cureus.69405,39411643
rayyan-601300224,An interpretable machine learning model based on optimal feature selection for identifying CT abnormalities in patients with mild traumatic brain injury.,2025,Excluded,10.1016/j.eclinm.2025.103192,40242564
rayyan-601300225,Artificial Intelligence in Dermatology: A Primer.,2020,Excluded,10.1016/j.jid.2020.02.026,32229141
rayyan-601300226,Artificial Intelligence in Emergency Trauma Care: A Preliminary Scoping Review.,2024,Maybe,10.2147/MDER.S467146,38803707
rayyan-601300227,Explainable artificial intelligence in emergency medicine: an overview.,2023,Maybe,10.15441/ceem.23.145,38012816
rayyan-601300228,Artificial intelligence and machine learning in prehospital emergency care: A scoping review.,2023,Included,10.1016/j.isci.2023.107407,37609632
rayyan-601300229,Implementing Symptom-Based Predictive Models for Early Diagnosis of Pediatric Respiratory Viral Infections.,2025,Excluded,10.3390/v17040546,40284989
rayyan-601300230,Predictive models for secondary epilepsy in patients with acute ischemic stroke within one year.,2024,Excluded,10.7554/eLife.98759,39540824
rayyan-601300231,Deep Learning for the Assessment of Facial Nerve Palsy: Opportunities and Challenges.,2023,Excluded,10.1055/s-0043-1769805,37290452
rayyan-601300232,Artificial Intelligence in Radiology: Transforming Cancer Detection and Diagnosis.,2025,Excluded,10.7759/cureus.96518,41393619
rayyan-601300233,Early prediction of hospital admission of emergency department patients.,2023,Excluded,10.1111/1742-6723.14169,36634916
rayyan-601300234,Artificial Intelligence in Thyroid Cytopathology: Diagnostic and Technical Insights.,2025,Excluded,10.3390/cancers17213525,41228318
rayyan-601300235,"AI and machine learning in resuscitation: Ongoing research, new concepts, and key challenges.",2023,Excluded,10.1016/j.resplu.2023.100435,37547540
rayyan-601300236,Augmented Decisions: AI-Enhanced Accuracy in Glaucoma Diagnosis and Treatment.,2025,Excluded,10.3390/jcm14186519,41010723
rayyan-601300237,Artificial intelligence and machine learning on diagnosis and classification of hip fracture: systematic review.,2022,Excluded,10.1186/s13018-022-03408-7,36456982
rayyan-601300238,"AI Methods Tailored to Influenza, RSV, HIV, and SARS-CoV-2: A Focused Review.",2025,Excluded,10.3390/pathogens14080748,40872258
rayyan-601300239,Implementation considerations for the adoption of artificial intelligence in the emergency department.,2024,Included,10.1016/j.ajem.2024.05.020,38820809
rayyan-601300240,Machine learning decision support model for discharge planning in stroke patients.,2024,Excluded,10.1111/jocn.16999,38358023
rayyan-601300241,Emergency department risk model: timely identification of patients for outpatient care coordination.,2024,Maybe,10.37765/ajmc.2024.89542,38748915
rayyan-601300242,Exploring Hospital Overcrowding with an Explainable Time-to-Event Machine Learning Approach.,2024,Excluded,10.3233/SHTI240505,39176833
rayyan-601300243,Artificial intelligence in emergency medicine: a narrative review.,2026,Maybe,10.1016/j.ajem.2026.01.028,41616395
rayyan-601300244,AI-driven multi-modal framework for prognostic modeling in glioblastoma: Enhancing clinical decision support.,2025,Excluded,10.1016/j.compmedimag.2025.102628,40816104
